Time 1,Time 2,Label,Type
2020-02-04 15:50:40.000,2020-02-04 16:29:27.500,Profile 1,PROFILE
2020-02-04 15:50:40.000,2020-02-04 16:28:01.500,,DOWN
2020-02-04 16:28:01.500,2020-02-04 16:29:27.500,,UP
2020-02-04 17:56:32.000,2020-02-04 18:30:23.000,Profile 2,PROFILE
2020-02-04 17:56:32.000,2020-02-04 18:29:13.500,,DOWN
2020-02-04 18:29:13.500,2020-02-04 18:30:23.000,,UP
2020-02-04 20:21:49.000,2020-02-04 20:25:25.500,Profile 3,PROFILE
2020-02-04 20:21:49.000,2020-02-04 20:23:49.000,,DOWN
2020-02-04 20:23:49.000,2020-02-04 20:25:25.500,,UP
2020-02-05 14:39:19.500,2020-02-05 14:41:38.000,Profile 4,PROFILE
2020-02-05 14:39:19.500,2020-02-05 14:41:31.500,,DOWN
2020-02-05 14:41:31.500,2020-02-05 14:41:38.000,,UP
2020-02-05 14:41:38.000,2020-02-05 14:43:51.000,Profile 5,PROFILE
2020-02-05 14:41:38.000,2020-02-05 14:42:39.500,,DOWN
2020-02-05 14:42:39.500,2020-02-05 14:43:51.000,,UP
2020-02-05 16:51:54.500,2020-02-05 16:59:52.500,Profile 6,PROFILE
2020-02-05 16:51:54.500,2020-02-05 16:56:53.500,,DOWN
2020-02-05 16:56:53.500,2020-02-05 16:59:52.500,,UP
2020-02-05 19:04:40.000,2020-02-05 19:10:35.500,Profile 7,PROFILE
2020-02-05 19:04:40.000,2020-02-05 19:08:04.500,,DOWN
2020-02-05 19:08:04.500,2020-02-05 19:10:35.500,,UP
2020-02-06 15:57:08.500,2020-02-06 15:58:51.500,Profile 8,PROFILE
2020-02-06 15:57:08.500,2020-02-06 15:58:34.000,,DOWN
2020-02-06 15:58:34.000,2020-02-06 15:58:51.500,,UP
2020-02-06 19:31:14.500,2020-02-06 19:37:49.500,Profile 9,PROFILE
2020-02-06 19:31:14.500,2020-02-06 19:36:52.000,,DOWN
2020-02-06 19:36:52.000,2020-02-06 19:37:49.500,,UP
2020-02-07 15:57:21.500,2020-02-07 16:00:46.500,Profile 10,PROFILE
2020-02-07 15:57:21.500,2020-02-07 15:59:48.000,,DOWN
2020-02-07 15:59:48.000,2020-02-07 16:00:46.500,,UP
2020-02-07 17:08:00.500,2020-02-07 18:00:11.500,Profile 11,PROFILE
2020-02-07 17:08:00.500,2020-02-07 17:57:48.000,,DOWN
2020-02-07 17:57:48.000,2020-02-07 18:00:11.500,,UP
2020-02-26 14:44:04.000,2020-02-26 14:57:03.500,Profile 12,PROFILE
2020-02-26 14:44:04.000,2020-02-26 14:52:48.000,,DOWN
2020-02-26 14:52:48.000,2020-02-26 14:57:03.500,,UP

