Time,Type
2020-02-04 15:50:28.000,Twist detected - sampling (re-)started
2020-02-04 15:50:40.000,Profile - downcast detected
2020-02-04 16:28:01.500,Profile - end of cast detected
2020-02-04 16:28:01.500,Profile - upcast detected
2020-02-04 16:29:27.500,Profile - end of cast detected
2020-02-04 16:29:30.500,Twist detected - sampling paused
2020-02-04 17:54:54.000,Twist detected - sampling (re-)started
2020-02-04 17:56:32.000,Profile - downcast detected
2020-02-04 18:29:13.500,Profile - end of cast detected
2020-02-04 18:29:13.500,Profile - upcast detected
2020-02-04 18:30:23.000,Profile - end of cast detected
2020-02-04 18:30:26.500,Twist detected - sampling paused
2020-02-04 19:47:32.000,Twist detected - sampling (re-)started
2020-02-04 20:21:49.000,Profile - downcast detected
2020-02-04 20:23:49.000,Profile - end of cast detected
2020-02-04 20:23:49.000,Profile - upcast detected
2020-02-04 20:25:25.500,Profile - end of cast detected
2020-02-04 20:25:28.500,Twist detected - sampling paused
2020-02-05 14:22:20.000,Twist detected - sampling (re-)started
2020-02-05 14:39:19.500,Profile - downcast detected
2020-02-05 14:41:31.500,Profile - end of cast detected
2020-02-05 14:41:31.500,Profile - upcast detected
2020-02-05 14:41:38.000,Profile - end of cast detected
2020-02-05 14:41:38.000,Profile - downcast detected
2020-02-05 14:42:39.500,Profile - end of cast detected
2020-02-05 14:42:39.500,Profile - upcast detected
2020-02-05 14:43:51.000,Profile - end of cast detected
2020-02-05 14:43:57.500,Twist detected - sampling paused
2020-02-05 16:19:37.000,Twist detected - sampling (re-)started
2020-02-05 16:51:54.500,Profile - downcast detected
2020-02-05 16:56:53.500,Profile - end of cast detected
2020-02-05 16:56:53.500,Profile - upcast detected
2020-02-05 16:59:52.500,Profile - end of cast detected
2020-02-05 16:59:57.000,Twist detected - sampling paused
2020-02-05 18:34:49.000,Twist detected - sampling (re-)started
2020-02-05 19:04:40.000,Profile - downcast detected
2020-02-05 19:08:04.500,Profile - end of cast detected
2020-02-05 19:08:04.500,Profile - upcast detected
2020-02-05 19:10:35.500,Profile - end of cast detected
2020-02-05 19:10:43.500,Twist detected - sampling paused
2020-02-06 15:29:25.000,Twist detected - sampling (re-)started
2020-02-06 15:57:08.500,Profile - downcast detected
2020-02-06 15:58:34.000,Profile - end of cast detected
2020-02-06 15:58:34.000,Profile - upcast detected
2020-02-06 15:58:51.500,Profile - end of cast detected
2020-02-06 15:58:56.500,Twist detected - sampling paused
2020-02-06 19:24:55.000,Twist detected - sampling (re-)started
2020-02-06 19:31:14.500,Profile - downcast detected
2020-02-06 19:36:52.000,Profile - end of cast detected
2020-02-06 19:36:52.000,Profile - upcast detected
2020-02-06 19:37:49.500,Profile - end of cast detected
2020-02-06 19:37:51.500,Twist detected - sampling paused
2020-02-07 15:10:40.000,Twist detected - sampling (re-)started
2020-02-07 15:46:40.000,Energy used - Internal
2020-02-07 15:57:21.500,Profile - downcast detected
2020-02-07 15:59:48.000,Profile - end of cast detected
2020-02-07 15:59:48.000,Profile - upcast detected
2020-02-07 16:00:46.500,Profile - end of cast detected
2020-02-07 16:00:48.500,Twist detected - sampling paused
2020-02-07 17:07:56.000,Twist detected - sampling (re-)started
2020-02-07 17:08:00.500,Profile - downcast detected
2020-02-07 17:57:48.000,Profile - end of cast detected
2020-02-07 17:57:48.000,Profile - upcast detected
2020-02-07 18:00:11.500,Profile - end of cast detected
2020-02-07 18:00:12.500,Twist detected - sampling paused
2020-02-07 18:00:27.000,Twist detected - sampling (re-)started
2020-02-07 18:00:27.500,Twist detected - sampling paused
2020-02-23 03:32:18.000,Twist detected - sampling (re-)started
2020-02-23 03:32:25.000,Twist detected - sampling paused
2020-02-26 14:43:26.000,Twist detected - sampling (re-)started
2020-02-26 14:44:04.000,Profile - downcast detected
2020-02-26 14:52:48.000,Profile - end of cast detected
2020-02-26 14:52:48.000,Profile - upcast detected
2020-02-26 14:57:03.500,Profile - end of cast detected
2020-02-26 14:57:40.500,Twist detected - sampling paused
2020-04-17 12:10:00.000,Energy used - Internal
2020-07-22 08:34:00.000,Energy used - Internal
2020-08-13 14:40:47.000,Twist detected - sampling (re-)started
2020-08-13 14:40:54.000,Twist detected - sampling paused
